First Name,M.I,Last Name,Suffix,SSN,Address 1,Apt Suite#,City,State,ZIP,DOB,Notes
Ernie,n,Lamoureux,,1561854,8067 Tanglewood Street,,CORONA,NY,11368,8/6/1991,Rehire
Taina,d,Pier,,4196949,209 Country Club Ave,,GLEN COVE,NY,11542,8/31/1999,
Clarice,e,Mirabella,,6351195,7568 Ohio Lane,Apt 19,WILSON,NC,27893,2/8/1965,
Krystina,g,Plant,,4241308,9622 Winchester Road,,EASTON,PA,18042,1/14/1974,
Su,u,Benoit,,414556,33 Pawnee Ave,,RAPID CITY,SD,57701,2/20/1984,
Gudrun,j,Lapp,,4608449,30 East Fawn Street,Suite 42,MOUNT HOLLY,NJ,8060,10/7/1993,
Conception,d,Dacus,,2386476,47 Westport Street,,NEW BRUNSWICK,NJ,8901,9/16/1983,
Desiree,t,Borkowski,,5376662,9538 Applegate St,,HERNANDO,MS,38632,6/29/1971,
Keesha,j,Garlock,,9186146,24 Ramblewood St,,HELENA,MT,59601,4/1/1970,
Crista,b,Horiuchi,,4907247,258 Oak Meadow Avenue,,LANSDOWNE,PA,19050,10/14/1996,
Melia,d,Ostroff,,2409429,193 Manhattan St,,OPA LOCKA,FL,33054,4/16/1998,
Rebeca,a,Meisinger,,6972711,543 Arlington Street,,BROWNSBURG,IN,46112,5/23/1990,
Hugo,s,Garnes,,4880250,50 Fordham Drive,Apt D,NORCROSS,GA,30092,9/24/1987,
Justine,l,Soja,,4773016,8267 W Vermont Drive,,INDIAN TRAIL,NC,28079,12/19/1988,
Dominga,u,Demello,,7627720,41 Hickory Ave,,AMSTERDAM,NY,12010,11/16/1970,
Alysha,p,Guillen,,7017552,9323 Pumpkin Hill Rd,,NEWPORT NEWS,VA,23601,6/10/1998,
Damien,t,Scheuermann,,7077271,42 Manor St,,QUAKERTOWN,PA,18951,3/31/2017,
Verona,w,Radosevich,,4122597,792 Harvard Dr,,WEST DEPTFORD,NJ,8096,4/30/1996,
