Legal First Name,M.I.,Legal Last Name,Suffix,SSN,Address 1,"Apt #, Suite",City or Town,Two Letter State,zip (5 digit),Date of Birth,Notes,Hire Date 1,Termination Date 1,Medical Plan Class Name 1 ,FT/PT Status 1,Don't Apply Waiting Period (Yes or No) 1,Hire Date 2,Termination Date 2,Medical Plan Class Name 2,FT/PT Status 2,Don't Apply Waiting Period (Yes or No) 2,Hire Date 3,Termination Date 3,Medical Plan Class Name 3,FT/PT Status 3,Don't Apply Waiting Period (Yes or No) 3,Hire Date 4,Termination Date 4,Medical Plan Class Name 4,FT/PT Status 4,Don't Apply Waiting Period (Yes or No) 4,Hire Date 5,Termination Date 5,Medical Plan Class Name 5,FT/PT Status 5,Don't Apply Waiting Period (Yes or No) 5,Hire Date 6,Termination Date 6,Medical Plan Class Name 6,FT/PT Status 6,Don't Apply Waiting Period (Yes or No) 6,Hire Date 7,Termination Date 7,Medical Plan Class Name 7,FT/PT Status 7,Don't Apply Waiting Period (Yes or No) 7,Hire Date 8,Termination Date 8,Medical Plan Class Name 8,FT/PT Status 8,Don't Apply Waiting Period (Yes or No) 8,Hire Date 9,Termination Date 9,Medical Plan Class Name 9,FT/PT Status 9,Don't Apply Waiting Period (Yes or No) 9,Hire Date 10,Termination Date 10,Medical Plan Class Name 10,FT/PT Status 10,Don't Apply Waiting Period (Yes or No) 10,Hire Date 11,Termination Date 11,Medical Plan Class Name 11,FT/PT Status 11,Don't Apply Waiting Period (Yes or No) 11,Hire Date 12,Termination Date 12,Medical Plan Class Name 12,FT/PT Status 12,Don't Apply Waiting Period (Yes or No) 12
testn,,Checking,,111-11-1134,1 Main Street,Apt 32,Greer,SC,29650,,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testo,,Checking,,111-11-1135,1 Main Street,Apt 32,Greer,SC,29650,12/31/16,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testp,,Checking,,111-11-1136,1 Main Street,Apt 32,Greer,SC,29650,1/1/10,,1/1/15,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testq,,Checking,,111-11-1137,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testr,,Checking,,111-11-1138,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/17,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tests,,Checking,,111-11-1139,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,12/31/16,12/30/16,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testt,,Checking,,111-11-1140,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,1/1/14,Plan Class #1,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testu,,Checking,,111-11-1141,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,,FT,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testv,,Checking,,111-11-1142,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,,YES,12/31/16,,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testw,,Checking,,111-11-1143,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,1/1/15,12/30/16,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testx,,Checking,,111-11-1144,1 Main Street,Apt 32,Greer,SC,29650,1/1/90,,1/1/15,12/30/16,Plan Class #1,FT,YES,11/15/16,12/30/16,Plan Class #1,FT,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
